ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
302,224,-12,-8,0,200,10,80,20,800,400,20,12,30
290,216,-12,-8,0,200,10,80,20,800,400,20,12,30
278,208,-12,-8,0,200,10,80,20,800,400,20,12,30
266,200,-12,-8,0,200,10,80,20,800,400,20,12,30
254,192,-12,-8,0,200,10,80,20,800,400,20,12,30
242,184,-12,-8,0,200,10,80,20,800,400,20,12,30
230,176,-12,-8,0,200,10,80,20,800,400,20,12,30
218,168,-12,-8,0,200,10,80,20,800,400,20,12,30
206,160,-12,-8,0,200,10,80,20,800,400,20,12,30
194,152,-12,-8,0,200,10,80,20,800,400,20,12,30
182,144,-12,-8,0,200,10,80,20,800,400,20,12,30
170,136,-12,-8,0,200,10,80,20,800,400,20,12,30
158,128,-12,-8,0,200,10,80,20,800,400,20,12,30
146,120,-12,-8,0,200,10,80,20,800,400,20,12,30
134,112,-12,-8,0,200,10,80,20,800,400,20,12,30
122,104,-12,-8,0,200,10,80,20,800,400,20,12,30
110,96,-12,-8,0,200,10,80,20,800,400,20,12,30
98,88,-12,-8,0,200,10,80,20,800,400,20,12,30
86,80,-12,-8,0,200,10,80,20,800,400,20,12,30
74,72,-12,-8,0,200,10,80,20,800,400,20,12,30
62,64,-12,-8,0,200,10,80,20,800,400,20,12,30
50,56,-12,-8,0,200,10,80,20,800,400,20,12,30
38,48,-12,-8,0,200,10,80,20,800,400,20,12,30
50,40,12,-8,0,200,10,80,20,800,400,20,12,30
62,32,12,-8,0,200,10,80,20,800,400,20,12,30
74,40,12,8,0,200,10,80,20,800,400,20,12,30
86,48,12,8,0,200,10,80,20,800,400,20,12,30
98,56,12,8,0,200,10,80,20,800,400,20,12,30
110,64,12,8,0,200,10,80,20,800,400,20,12,30
122,72,12,8,0,200,10,80,20,800,400,20,12,30
134,80,12,8,0,200,10,80,20,800,400,20,12,30
146,88,12,8,0,200,10,80,20,800,400,20,12,30
158,96,12,8,0,200,10,80,20,800,400,20,12,30
170,104,12,8,0,200,10,80,20,800,400,20,12,30
182,112,12,8,0,200,10,80,20,800,400,20,12,30
194,120,12,8,0,200,10,80,20,800,400,20,12,30
206,128,12,8,0,200,10,80,20,800,400,20,12,30
218,136,12,8,0,200,10,80,20,800,400,20,12,30
230,144,12,8,0,200,10,80,20,800,400,20,12,30
242,152,12,8,1,200,10,80,20,800,400,20,12,30
254,160,12,8,0,220,10,80,20,800,400,20,12,30
266,168,12,8,0,220,10,80,20,800,400,20,12,30
278,176,12,8,0,220,10,80,20,800,400,20,12,30
290,184,12,8,0,220,10,80,20,800,400,20,12,30
302,192,12,8,0,220,10,80,20,800,400,20,12,30
314,200,12,8,1,220,10,80,20,800,400,20,12,30
326,208,12,8,0,240,10,80,20,800,400,20,12,30
338,216,12,8,0,240,10,80,20,800,400,20,12,30
350,224,12,8,0,240,10,80,20,800,400,20,12,30
362,232,12,8,0,240,10,80,20,800,400,20,12,30
374,240,12,8,0,240,10,80,20,800,400,20,12,30
386,248,12,8,0,240,10,80,20,800,400,20,12,30
398,256,12,8,0,240,10,80,20,800,400,20,12,30
410,264,12,8,1,240,10,80,20,800,400,20,12,30
422,272,12,8,0,260,10,80,20,800,400,20,12,30
434,280,12,8,0,260,10,80,20,800,400,20,12,30
446,288,12,8,0,260,10,80,20,800,400,20,12,30
458,296,12,8,0,260,10,80,20,800,400,20,12,30
470,304,12,8,0,260,10,80,20,800,400,20,12,30
482,312,12,8,0,260,10,80,20,800,400,20,12,30
494,320,12,8,0,260,10,80,20,800,400,20,12,30
506,328,12,8,1,260,10,80,20,800,400,20,12,30
518,336,12,8,0,280,10,80,20,800,400,20,12,30
530,344,12,8,0,280,10,80,20,800,400,20,12,30
542,352,12,8,0,280,10,80,20,800,400,20,12,30
554,360,12,8,0,280,10,80,20,800,400,20,12,30
566,368,12,8,0,280,10,80,20,800,400,20,12,30
578,360,12,-8,0,280,10,80,20,800,400,20,12,30
590,352,12,-8,0,280,10,80,20,800,400,20,12,30
602,344,12,-8,0,280,10,80,20,800,400,20,12,30
614,336,12,-8,0,280,10,80,20,800,400,20,12,30
626,328,12,-8,0,280,10,80,20,800,400,20,12,30
638,320,12,-8,0,280,10,80,20,800,400,20,12,30
650,312,12,-8,0,280,10,80,20,800,400,20,12,30
662,304,12,-8,0,280,10,80,20,800,400,20,12,30
674,296,12,-8,0,280,10,80,20,800,400,20,12,30
686,288,12,-8,0,280,10,80,20,800,400,20,12,30
698,280,12,-8,0,280,10,80,20,800,400,20,12,30
710,272,12,-8,0,280,10,80,20,800,400,20,12,30
722,264,12,-8,-1,280,10,80,20,800,400,20,12,30
734,256,12,-8,0,260,10,80,20,800,400,20,12,30
746,248,12,-8,0,260,10,80,20,800,400,20,12,30
758,240,12,-8,0,260,10,80,20,800,400,20,12,30
770,232,12,-8,0,260,10,80,20,800,400,20,12,30
758,224,-12,-8,0,260,10,80,20,800,400,20,12,30
746,216,-12,-8,-1,260,10,80,20,800,400,20,12,30
734,208,-12,-8,0,240,10,80,20,800,400,20,12,30
722,200,-12,-8,0,240,10,80,20,800,400,20,12,30
710,192,-12,-8,0,240,10,80,20,800,400,20,12,30
698,184,-12,-8,0,240,10,80,20,800,400,20,12,30
686,176,-12,-8,0,240,10,80,20,800,400,20,12,30
674,168,-12,-8,0,240,10,80,20,800,400,20,12,30
662,160,-12,-8,0,240,10,80,20,800,400,20,12,30
650,152,-12,-8,0,240,10,80,20,800,400,20,12,30
638,144,-12,-8,0,240,10,80,20,800,400,20,12,30
626,136,-12,-8,0,240,10,80,20,800,400,20,12,30
614,128,-12,-8,0,240,10,80,20,800,400,20,12,30
602,120,-12,-8,0,240,10,80,20,800,400,20,12,30
590,112,-12,-8,0,240,10,80,20,800,400,20,12,30
578,104,-12,-8,0,240,10,80,20,800,400,20,12,30
566,96,-12,-8,0,240,10,80,20,800,400,20,12,30
554,88,-12,-8,0,240,10,80,20,800,400,20,12,30
542,80,-12,-8,0,240,10,80,20,800,400,20,12,30
530,72,-12,-8,0,240,10,80,20,800,400,20,12,30
518,64,-12,-8,0,240,10,80,20,800,400,20,12,30
506,56,-12,-8,0,240,10,80,20,800,400,20,12,30
494,48,-12,-8,0,240,10,80,20,800,400,20,12,30
482,40,-12,-8,0,240,10,80,20,800,400,20,12,30
470,32,-12,-8,0,240,10,80,20,800,400,20,12,30
458,40,-12,8,0,240,10,80,20,800,400,20,12,30
446,48,-12,8,0,240,10,80,20,800,400,20,12,30
434,56,-12,8,0,240,10,80,20,800,400,20,12,30
422,64,-12,8,0,240,10,80,20,800,400,20,12,30
410,72,-12,8,0,240,10,80,20,800,400,20,12,30
398,80,-12,8,0,240,10,80,20,800,400,20,12,30
386,88,-12,8,0,240,10,80,20,800,400,20,12,30
374,96,-12,8,0,240,10,80,20,800,400,20,12,30
362,104,-12,8,0,240,10,80,20,800,400,20,12,30
350,112,-12,8,0,240,10,80,20,800,400,20,12,30
338,120,-12,8,0,240,10,80,20,800,400,20,12,30
326,128,-12,8,0,240,10,80,20,800,400,20,12,30
314,136,-12,8,0,240,10,80,20,800,400,20,12,30
302,144,-12,8,0,240,10,80,20,800,400,20,12,30
290,152,-12,8,0,240,10,80,20,800,400,20,12,30
278,160,-12,8,0,240,10,80,20,800,400,20,12,30
266,168,-12,8,0,240,10,80,20,800,400,20,12,30
254,176,-12,8,0,240,10,80,20,800,400,20,12,30
242,184,-12,8,0,240,10,80,20,800,400,20,12,30
230,192,-12,8,0,240,10,80,20,800,400,20,12,30
218,200,-12,8,0,240,10,80,20,800,400,20,12,30
206,208,-12,8,0,240,10,80,20,800,400,20,12,30
194,216,-12,8,0,240,10,80,20,800,400,20,12,30
182,224,-12,8,0,240,10,80,20,800,400,20,12,30
170,232,-12,8,0,240,10,80,20,800,400,20,12,30
158,240,-12,8,0,240,10,80,20,800,400,20,12,30
146,248,-12,8,0,240,10,80,20,800,400,20,12,30
134,256,-12,8,0,240,10,80,20,800,400,20,12,30
122,264,-12,8,0,240,10,80,20,800,400,20,12,30
110,272,-12,8,0,240,10,80,20,800,400,20,12,30
98,280,-12,8,0,240,10,80,20,800,400,20,12,30
86,288,-12,8,0,240,10,80,20,800,400,20,12,30
74,296,-12,8,0,240,10,80,20,800,400,20,12,30
62,304,-12,8,0,240,10,80,20,800,400,20,12,30
50,312,-12,8,0,240,10,80,20,800,400,20,12,30
38,320,-12,8,0,240,10,80,20,800,400,20,12,30
50,328,12,8,0,240,10,80,20,800,400,20,12,30
62,336,12,8,0,240,10,80,20,800,400,20,12,30
74,344,12,8,0,240,10,80,20,800,400,20,12,30
86,352,12,8,0,240,10,80,20,800,400,20,12,30
98,360,12,8,0,240,10,80,20,800,400,20,12,30
110,368,12,8,0,240,10,80,20,800,400,20,12,30
122,360,12,-8,0,240,10,80,20,800,400,20,12,30
134,352,12,-8,0,240,10,80,20,800,400,20,12,30
146,344,12,-8,0,240,10,80,20,800,400,20,12,30
158,336,12,-8,0,240,10,80,20,800,400,20,12,30
170,328,12,-8,0,240,10,80,20,800,400,20,12,30
182,320,12,-8,0,240,10,80,20,800,400,20,12,30
194,312,12,-8,0,240,10,80,20,800,400,20,12,30
206,304,12,-8,0,240,10,80,20,800,400,20,12,30
218,296,12,-8,0,240,10,80,20,800,400,20,12,30
230,288,12,-8,0,240,10,80,20,800,400,20,12,30
242,280,12,-8,0,240,10,80,20,800,400,20,12,30
254,272,12,-8,0,240,10,80,20,800,400,20,12,30
266,264,12,-8,0,240,10,80,20,800,400,20,12,30
278,256,12,-8,0,240,10,80,20,800,400,20,12,30
290,248,12,-8,0,240,10,80,20,800,400,20,12,30
302,240,12,-8,0,240,10,80,20,800,400,20,12,30
314,232,12,-8,-1,240,10,80,20,800,400,20,12,30
326,224,12,-8,0,220,10,80,20,800,400,20,12,30
338,216,12,-8,0,220,10,80,20,800,400,20,12,30
350,208,12,-8,0,220,10,80,20,800,400,20,12,30
362,200,12,-8,0,220,10,80,20,800,400,20,12,30
374,192,12,-8,0,220,10,80,20,800,400,20,12,30
386,184,12,-8,-1,220,10,80,20,800,400,20,12,30
398,176,12,-8,0,200,10,80,20,800,400,20,12,30
410,168,12,-8,0,200,10,80,20,800,400,20,12,30
422,160,12,-8,0,200,10,80,20,800,400,20,12,30
434,152,12,-8,-1,200,10,80,20,800,400,20,12,30
446,144,12,-8,0,180,10,80,20,800,400,20,12,30
458,136,12,-8,0,180,10,80,20,800,400,20,12,30
470,128,12,-8,0,180,10,80,20,800,400,20,12,30
482,120,12,-8,0,180,10,80,20,800,400,20,12,30
494,112,12,-8,-1,180,10,80,20,800,400,20,12,30
506,104,12,-8,0,160,10,80,20,800,400,20,12,30
518,96,12,-8,0,160,10,80,20,800,400,20,12,30
530,88,12,-8,0,160,10,80,20,800,400,20,12,30
542,80,12,-8,0,160,10,80,20,800,400,20,12,30
554,72,12,-8,-1,160,10,80,20,800,400,20,12,30
566,64,12,-8,0,140,10,80,20,800,400,20,12,30
578,56,12,-8,0,140,10,80,20,800,400,20,12,30
590,48,12,-8,0,140,10,80,20,800,400,20,12,30
602,40,12,-8,0,140,10,80,20,800,400,20,12,30
614,32,12,-8,0,140,10,80,20,800,400,20,12,30
626,40,12,8,0,140,10,80,20,800,400,20,12,30
638,48,12,8,0,140,10,80,20,800,400,20,12,30
650,56,12,8,0,140,10,80,20,800,400,20,12,30
662,64,12,8,0,140,10,80,20,800,400,20,12,30
674,72,12,8,0,140,10,80,20,800,400,20,12,30
686,80,12,8,0,140,10,80,20,800,400,20,12,30
698,88,12,8,0,140,10,80,20,800,400,20,12,30
710,96,12,8,0,140,10,80,20,800,400,20,12,30
722,104,12,8,0,140,10,80,20,800,400,20,12,30
734,112,12,8,0,140,10,80,20,800,400,20,12,30
746,120,12,8,0,140,10,80,20,800,400,20,12,30
758,128,12,8,0,140,10,80,20,800,400,20,12,30
770,136,12,8,0,140,10,80,20,800,400,20,12,30
758,144,-12,8,0,140,10,80,20,800,400,20,12,30
746,152,-12,8,0,140,10,80,20,800,400,20,12,30
734,160,-12,8,0,140,10,80,20,800,400,20,12,30
722,168,-12,8,0,140,10,80,20,800,400,20,12,30
710,176,-12,8,0,140,10,80,20,800,400,20,12,30
698,184,-12,8,0,140,10,80,20,800,400,20,12,30
686,192,-12,8,0,140,10,80,20,800,400,20,12,30
674,200,-12,8,0,140,10,80,20,800,400,20,12,30
662,208,-12,8,0,140,10,80,20,800,400,20,12,30
650,216,-12,8,0,140,10,80,20,800,400,20,12,30
638,224,-12,8,0,140,10,80,20,800,400,20,12,30
626,232,-12,8,0,140,10,80,20,800,400,20,12,30
614,240,-12,8,0,140,10,80,20,800,400,20,12,30
602,248,-12,8,0,140,10,80,20,800,400,20,12,30
590,256,-12,8,0,140,10,80,20,800,400,20,12,30
578,264,-12,8,0,140,10,80,20,800,400,20,12,30
566,272,-12,8,0,140,10,80,20,800,400,20,12,30
554,280,-12,8,0,140,10,80,20,800,400,20,12,30
542,288,-12,8,0,140,10,80,20,800,400,20,12,30
530,296,-12,8,0,140,10,80,20,800,400,20,12,30
518,304,-12,8,0,140,10,80,20,800,400,20,12,30
506,312,-12,8,0,140,10,80,20,800,400,20,12,30
494,320,-12,8,0,140,10,80,20,800,400,20,12,30
482,328,-12,8,0,140,10,80,20,800,400,20,12,30
470,336,-12,8,0,140,10,80,20,800,400,20,12,30
458,344,-12,8,0,140,10,80,20,800,400,20,12,30
446,352,-12,8,0,140,10,80,20,800,400,20,12,30
434,360,-12,8,0,140,10,80,20,800,400,20,12,30
422,368,-12,8,0,140,10,80,20,800,400,20,12,30
410,360,-12,-8,0,140,10,80,20,800,400,20,12,30
398,352,-12,-8,0,140,10,80,20,800,400,20,12,30
386,344,-12,-8,0,140,10,80,20,800,400,20,12,30
374,336,-12,-8,0,140,10,80,20,800,400,20,12,30
362,328,-12,-8,0,140,10,80,20,800,400,20,12,30
350,320,-12,-8,0,140,10,80,20,800,400,20,12,30
338,312,-12,-8,0,140,10,80,20,800,400,20,12,30
326,304,-12,-8,0,140,10,80,20,800,400,20,12,30
314,296,-12,-8,0,140,10,80,20,800,400,20,12,30
302,288,-12,-8,0,140,10,80,20,800,400,20,12,30
290,280,-12,-8,0,140,10,80,20,800,400,20,12,30
278,272,-12,-8,0,140,10,80,20,800,400,20,12,30
266,264,-12,-8,0,140,10,80,20,800,400,20,12,30
254,256,-12,-8,0,140,10,80,20,800,400,20,12,30
242,248,-12,-8,0,140,10,80,20,800,400,20,12,30
230,240,-12,-8,0,140,10,80,20,800,400,20,12,30
218,232,-12,-8,0,140,10,80,20,800,400,20,12,30
206,224,-12,-8,0,140,10,80,20,800,400,20,12,30
194,216,-12,-8,0,140,10,80,20,800,400,20,12,30
182,208,-12,-8,0,140,10,80,20,800,400,20,12,30
170,200,-12,-8,0,140,10,80,20,800,400,20,12,30
158,192,-12,-8,0,140,10,80,20,800,400,20,12,30
146,184,-12,-8,0,140,10,80,20,800,400,20,12,30
134,176,-12,-8,0,140,10,80,20,800,400,20,12,30
122,168,-12,-8,0,140,10,80,20,800,400,20,12,30
110,160,-12,-8,0,140,10,80,20,800,400,20,12,30
98,152,-12,-8,0,140,10,80,20,800,400,20,12,30
86,144,-12,-8,0,140,10,80,20,800,400,20,12,30
74,136,-12,-8,0,140,10,80,20,800,400,20,12,30
62,128,-12,-8,0,140,10,80,20,800,400,20,12,30
50,120,-12,-8,0,140,10,80,20,800,400,20,12,30
38,112,-12,-8,0,140,10,80,20,800,400,20,12,30
50,104,12,-8,0,140,10,80,20,800,400,20,12,30
62,96,12,-8,0,140,10,80,20,800,400,20,12,30
74,88,12,-8,0,140,10,80,20,800,400,20,12,30
86,80,12,-8,0,140,10,80,20,800,400,20,12,30
98,72,12,-8,0,140,10,80,20,800,400,20,12,30
110,64,12,-8,0,140,10,80,20,800,400,20,12,30
122,56,12,-8,0,140,10,80,20,800,400,20,12,30
134,48,12,-8,0,140,10,80,20,800,400,20,12,30
146,40,12,-8,0,140,10,80,20,800,400,20,12,30
158,32,12,-8,0,140,10,80,20,800,400,20,12,30
170,40,12,8,0,140,10,80,20,800,400,20,12,30
182,48,12,8,0,140,10,80,20,800,400,20,12,30
194,56,12,8,0,140,10,80,20,800,400,20,12,30
206,64,12,8,0,140,10,80,20,800,400,20,12,30
218,72,12,8,0,140,10,80,20,800,400,20,12,30
230,80,12,8,0,140,10,80,20,800,400,20,12,30
242,88,12,8,0,140,10,80,20,800,400,20,12,30
254,96,12,8,0,140,10,80,20,800,400,20,12,30
266,104,12,8,0,140,10,80,20,800,400,20,12,30
278,112,12,8,0,140,10,80,20,800,400,20,12,30
290,120,12,8,0,140,10,80,20,800,400,20,12,30
302,128,12,8,1,140,10,80,20,800,400,20,12,30
314,136,12,8,0,160,10,80,20,800,400,20,12,30
326,144,12,8,0,160,10,80,20,800,400,20,12,30
338,152,12,8,0,160,10,80,20,800,400,20,12,30
350,160,12,8,0,160,10,80,20,800,400,20,12,30
362,168,12,8,1,160,10,80,20,800,400,20,12,30
374,176,12,8,0,180,10,80,20,800,400,20,12,30
386,184,12,8,0,180,10,80,20,800,400,20,12,30
398,192,12,8,0,180,10,80,20,800,400,20,12,30
410,200,12,8,0,180,10,80,20,800,400,20,12,30
422,208,12,8,0,180,10,80,20,800,400,20,12,30
434,216,12,8,1,180,10,80,20,800,400,20,12,30
446,224,12,8,0,200,10,80,20,800,400,20,12,30
458,232,12,8,0,200,10,80,20,800,400,20,12,30
470,240,12,8,0,200,10,80,20,800,400,20,12,30
482,248,12,8,0,200,10,80,20,800,400,20,12,30
494,256,12,8,1,200,10,80,20,800,400,20,12,30
506,264,12,8,0,220,10,80,20,800,400,20,12,30
518,272,12,8,0,220,10,80,20,800,400,20,12,30
530,280,12,8,0,220,10,80,20,800,400,20,12,30
542,288,12,8,0,220,10,80,20,800,400,20,12,30
554,296,12,8,1,220,10,80,20,800,400,20,12,30
566,304,12,8,0,240,10,80,20,800,400,20,12,30
578,312,12,8,0,240,10,80,20,800,400,20,12,30
590,320,12,8,0,240,10,80,20,800,400,20,12,30
602,328,12,8,0,240,10,80,20,800,400,20,12,30
614,336,12,8,0,240,10,80,20,800,400,20,12,30
626,344,12,8,1,240,10,80,20,800,400,20,12,30
638,352,12,8,0,260,10,80,20,800,400,20,12,30
650,360,12,8,0,260,10,80,20,800,400,20,12,30
662,368,12,8,0,260,10,80,20,800,400,20,12,30
674,360,12,-8,0,260,10,80,20,800,400,20,12,30
686,352,12,-8,1,260,10,80,20,800,400,20,12,30
698,344,12,-8,0,280,10,80,20,800,400,20,12,30
710,336,12,-8,0,280,10,80,20,800,400,20,12,30
722,328,12,-8,0,280,10,80,20,800,400,20,12,30
734,320,12,-8,1,280,10,80,20,800,400,20,12,30
746,312,12,-8,0,300,10,80,20,800,400,20,12,30
758,304,12,-8,0,300,10,80,20,800,400,20,12,30
770,296,12,-8,0,300,10,80,20,800,400,20,12,30
758,288,-12,-8,0,300,10,80,20,800,400,20,12,30
746,280,-12,-8,1,300,10,80,20,800,400,20,12,30
734,272,-12,-8,0,320,10,80,20,800,400,20,12,30
722,264,-12,-8,0,320,10,80,20,800,400,20,12,30
710,256,-12,-8,0,320,10,80,20,800,400,20,12,30
698,248,-12,-8,0,320,10,80,20,800,400,20,12,30
686,240,-12,-8,0,320,10,80,20,800,400,20,12,30
674,232,-12,-8,0,320,10,80,20,800,400,20,12,30
662,224,-12,-8,0,320,10,80,20,800,400,20,12,30
650,216,-12,-8,0,320,10,80,20,800,400,20,12,30
638,208,-12,-8,0,320,10,80,20,800,400,20,12,30
626,200,-12,-8,0,320,10,80,20,800,400,20,12,30
614,192,-12,-8,0,320,10,80,20,800,400,20,12,30
602,184,-12,-8,0,320,10,80,20,800,400,20,12,30
590,176,-12,-8,-1,320,10,80,20,800,400,20,12,30
578,168,-12,-8,0,300,10,80,20,800,400,20,12,30
566,160,-12,-8,0,300,10,80,20,800,400,20,12,30
554,152,-12,-8,0,300,10,80,20,800,400,20,12,30
542,144,-12,-8,0,300,10,80,20,800,400,20,12,30
530,136,-12,-8,0,300,10,80,20,800,400,20,12,30
518,128,-12,-8,0,300,10,80,20,800,400,20,12,30
506,120,-12,-8,-1,300,10,80,20,800,400,20,12,30
494,112,-12,-8,0,280,10,80,20,800,400,20,12,30
482,104,-12,-8,0,280,10,80,20,800,400,20,12,30
470,96,-12,-8,0,280,10,80,20,800,400,20,12,30
458,88,-12,-8,0,280,10,80,20,800,400,20,12,30
446,80,-12,-8,0,280,10,80,20,800,400,20,12,30
434,72,-12,-8,0,280,10,80,20,800,400,20,12,30
422,64,-12,-8,0,280,10,80,20,800,400,20,12,30
410,56,-12,-8,0,280,10,80,20,800,400,20,12,30
398,48,-12,-8,-1,280,10,80,20,800,400,20,12,30
386,40,-12,-8,0,260,10,80,20,800,400,20,12,30
374,32,-12,-8,0,260,10,80,20,800,400,20,12,30
362,40,-12,8,0,260,10,80,20,800,400,20,12,30
350,48,-12,8,0,260,10,80,20,800,400,20,12,30
338,56,-12,8,0,260,10,80,20,800,400,20,12,30
326,64,-12,8,-1,260,10,80,20,800,400,20,12,30
314,72,-12,8,0,240,10,80,20,800,400,20,12,30
302,80,-12,8,0,240,10,80,20,800,400,20,12,30
290,88,-12,8,0,240,10,80,20,800,400,20,12,30
278,96,-12,8,0,240,10,80,20,800,400,20,12,30
266,104,-12,8,0,240,10,80,20,800,400,20,12,30
254,112,-12,8,-1,240,10,80,20,800,400,20,12,30
242,120,-12,8,0,220,10,80,20,800,400,20,12,30
230,128,-12,8,0,220,10,80,20,800,400,20,12,30
218,136,-12,8,0,220,10,80,20,800,400,20,12,30
206,144,-12,8,0,220,10,80,20,800,400,20,12,30
194,152,-12,8,0,220,10,80,20,800,400,20,12,30
182,160,-12,8,-1,220,10,80,20,800,400,20,12,30
170,168,-12,8,0,200,10,80,20,800,400,20,12,30
158,176,-12,8,0,200,10,80,20,800,400,20,12,30
146,184,-12,8,0,200,10,80,20,800,400,20,12,30
134,192,-12,8,0,200,10,80,20,800,400,20,12,30
122,200,-12,8,0,200,10,80,20,800,400,20,12,30
110,208,-12,8,0,200,10,80,20,800,400,20,12,30
98,216,-12,8,0,200,10,80,20,800,400,20,12,30
86,224,-12,8,0,200,10,80,20,800,400,20,12,30
74,232,-12,8,0,200,10,80,20,800,400,20,12,30
62,240,-12,8,0,200,10,80,20,800,400,20,12,30
50,248,-12,8,0,200,10,80,20,800,400,20,12,30
38,256,-12,8,0,200,10,80,20,800,400,20,12,30
50,264,12,8,0,200,10,80,20,800,400,20,12,30
62,272,12,8,0,200,10,80,20,800,400,20,12,30
74,280,12,8,0,200,10,80,20,800,400,20,12,30
86,288,12,8,0,200,10,80,20,800,400,20,12,30
98,296,12,8,0,200,10,80,20,800,400,20,12,30
110,304,12,8,0,200,10,80,20,800,400,20,12,30
122,312,12,8,0,200,10,80,20,800,400,20,12,30
134,320,12,8,0,200,10,80,20,800,400,20,12,30
146,328,12,8,0,200,10,80,20,800,400,20,12,30
158,336,12,8,0,200,10,80,20,800,400,20,12,30
170,344,12,8,0,200,10,80,20,800,400,20,12,30
182,352,12,8,0,200,10,80,20,800,400,20,12,30
194,360,12,8,0,200,10,80,20,800,400,20,12,30
206,368,12,8,0,200,10,80,20,800,400,20,12,30
218,360,12,-8,0,200,10,80,20,800,400,20,12,30
230,352,12,-8,0,200,10,80,20,800,400,20,12,30
242,344,12,-8,0,200,10,80,20,800,400,20,12,30
254,336,12,-8,0,200,10,80,20,800,400,20,12,30
266,328,12,-8,0,200,10,80,20,800,400,20,12,30
278,320,12,-8,0,200,10,80,20,800,400,20,12,30
290,312,12,-8,0,200,10,80,20,800,400,20,12,30
302,304,12,-8,0,200,10,80,20,800,400,20,12,30
314,296,12,-8,0,200,10,80,20,800,400,20,12,30
326,288,12,-8,0,200,10,80,20,800,400,20,12,30
338,280,12,-8,0,200,10,80,20,800,400,20,12,30
350,272,12,-8,-1,200,10,80,20,800,400,20,12,30
362,264,12,-8,0,180,10,80,20,800,400,20,12,30
374,256,12,-8,0,180,10,80,20,800,400,20,12,30
386,248,12,-8,0,180,10,80,20,800,400,20,12,30
398,240,12,-8,0,180,10,80,20,800,400,20,12,30
410,232,12,-8,0,180,10,80,20,800,400,20,12,30
422,224,12,-8,-1,180,10,80,20,800,400,20,12,30
434,216,12,-8,0,160,10,80,20,800,400,20,12,30
446,208,12,-8,0,160,10,80,20,800,400,20,12,30
458,200,12,-8,0,160,10,80,20,800,400,20,12,30
470,192,12,-8,0,160,10,80,20,800,400,20,12,30
482,184,12,-8,-1,160,10,80,20,800,400,20,12,30
494,176,12,-8,0,140,10,80,20,800,400,20,12,30
506,168,12,-8,0,140,10,80,20,800,400,20,12,30
518,160,12,-8,0,140,10,80,20,800,400,20,12,30
530,152,12,-8,0,140,10,80,20,800,400,20,12,30
542,144,12,-8,0,140,10,80,20,800,400,20,12,30
554,136,12,-8,-1,140,10,80,20,800,400,20,12,30
566,128,12,-8,0,120,10,80,20,800,400,20,12,30
578,120,12,-8,0,120,10,80,20,800,400,20,12,30
590,112,12,-8,0,120,10,80,20,800,400,20,12,30
